model_harness,failure_mode,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_pi,normalization_representation.feature_selection_or_panel_scope_mismatch,12,4,0,0.0,0.0,0.2425007574992425,0.5115440115440115,0.5,0.0,0.0,456.59000000000003,1763.136,816.6566666666666,12,0.5836549375
anthropic_claude-opus-4-6_pi,normalization_representation.latent_basis_or_embedding_provenance_mismatch,3,1,0,0.0,0.0,0.5615060804490177,0.4444444444444444,0.3333333333333333,0.0,0.0,380.21,396.906,369.11999999999995,3,0.5828764166666666
anthropic_claude-opus-4-6_pi,normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.7501683501683503,0.8,0.0,0.0,389.06,10065.33,3109.8477777777784,9,1.633279388888889
anthropic_claude-opus-4-6_pi,normalization_representation.wrong_data_layer_or_preprocessing,15,5,6,0.4,0.19824228082594664,0.642535572434923,0.6722222222222222,0.5,0.0,0.0,90.09,367.77,188.92066666666673,15,0.37851285
anthropic_claude-opus-4-6_pi,other.unclassified_or_mixed,3,1,0,0.0,0.0,0.5615060804490177,0.75,0.75,0.0,0.0,1722.71,1996.0539999999999,1434.756666666667,3,1.10718875
anthropic_claude-opus-4-6_pi,qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,6,2,3,0.5,0.18761280689940868,0.8123871931005913,0.7222222222222222,0.8333333333333333,0.0,0.0,261.55,390.645,277.255,6,0.5545617916666666
anthropic_claude-opus-4-6_pi,replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,12,4,4,0.3333333333333333,0.13811783989736134,0.609382412602386,0.6825757575757576,0.65,0.0,0.0,214.06,1763.136,673.9583333333334,12,0.49067566666666673
anthropic_claude-opus-4-6_pi,rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,3,1,0,0.0,0.0,0.5615060804490177,0.4444444444444444,0.3333333333333333,0.0,0.0,380.21,396.906,369.11999999999995,3,0.5828764166666666
anthropic_claude-opus-4-6_pi,subset_scope_compartment.wrong_denominator_reference_or_abundance_base,18,6,9,0.5,0.2903070395897999,0.7096929604102,0.8234126984126984,0.9285714285714286,0.0,0.0,297.07500000000005,9224.425000000001,2040.2438888888885,18,0.9339363055555556
anthropic_claude-opus-4-6_pi,subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,225.09,277.898,243.4266666666667,3,0.411618
anthropic_claude-opus-4-6_pi,subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,3,1,0,0.0,0.0,0.5615060804490177,0.25,0.25,0.0,0.0,747.69,938.234,805.7066666666666,3,0.4940197500000001
anthropic_claude-opus-4-6_pi,threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,27,9,9,0.3333333333333333,0.1864305444359335,0.5217558012789452,0.6793490460157128,0.7142857142857143,0.0,0.0,389.06,3626.5580000000064,1476.0325925925924,27,0.9595096296296297
anthropic_claude-opus-4-7_claude-code,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.5,0.5,0.0,0.0,812.2,896.36,806.6333333333333,0,
anthropic_claude-opus-4-7_claude-code,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,14,0.5833333333333334,0.3883433764938864,0.7553265275346177,0.8297258297258296,1.0,0.0,0.0,1142.25,7875.959999999996,2480.835,0,
anthropic_claude-opus-4-7_claude-code,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.6666666666666666,0.6666666666666667,0.0,0.0,199.05499999999998,387.16999999999996,221.24499999999998,0,
anthropic_claude-opus-4-7_claude-code,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.624074074074074,0.5333333333333333,0.0,0.0,537.08,740.85,426.94777777777773,0,
anthropic_claude-opus-4-7_claude-code,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,6,1.0,0.6096569663469354,0.9999999999999999,1.0,1.0,0.0,0.0,4851.83,11573.555,5488.465000000001,0,
anthropic_claude-opus-4-7_claude-code,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,7,0.5833333333333334,0.3195073356553728,0.8067425380947535,0.8373015873015874,1.0,0.0,0.0,424.125,975.848,534.9525,0,
anthropic_claude-opus-4-7_claude-code,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6481481481481481,0.625,0.0,0.0,548.13,990.7560000000001,573.2655555555556,0,
anthropic_claude-opus-4-7_claude-code,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,19,0.4523809523809524,0.3122316381863852,0.6005113725287732,0.7356936714079572,0.8333333333333334,0.0,0.0,428.61,3601.595,1439.47,0,
anthropic_claude-opus-4-7_claude-code,normalization_representation.feature_namespace_or_identifier_mismatch,18,6,0,0.0,0.0,0.1758845505823749,0.5494107744107743,0.5454545454545454,0.0,0.0,664.2,3498.3650000000002,1215.4572222222223,0,
anthropic_claude-opus-4-7_claude-code,normalization_representation.feature_selection_or_panel_scope_mismatch,12,4,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.6152597402597403,0.5714285714285714,0.0,0.0,442.185,1545.82,724.9025,0,
anthropic_claude-opus-4-7_claude-code,normalization_representation.latent_basis_or_embedding_provenance_mismatch,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,330.09,421.418,360.80999999999995,0,
anthropic_claude-opus-4-7_claude-code,normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.7427609427609426,0.7272727272727273,0.0,0.0,537.08,3637.862,1374.1022222222223,0,
anthropic_claude-opus-4-7_claude-code,normalization_representation.wrong_data_layer_or_preprocessing,15,5,6,0.4,0.19824228082594664,0.642535572434923,0.7166666666666667,0.8333333333333334,0.0,0.0,83.01,387.084,182.19000000000005,0,
anthropic_claude-opus-4-7_claude-code,other.unclassified_or_mixed,3,1,0,0.0,0.0,0.5615060804490177,0.75,0.75,0.0,0.0,757.11,786.846,739.8833333333333,0,
anthropic_claude-opus-4-7_claude-code,qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,6,2,3,0.5,0.18761280689940868,0.8123871931005913,0.9166666666666666,0.9166666666666667,0.0,0.0,291.08,387.16999999999996,270.09,0,
anthropic_claude-opus-4-7_claude-code,replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.7462121212121212,0.7727272727272727,0.0,0.0,245.545,1545.82,552.6825,0,
anthropic_claude-opus-4-7_claude-code,rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,330.09,421.418,360.80999999999995,0,
anthropic_claude-opus-4-7_claude-code,subset_scope_compartment.wrong_denominator_reference_or_abundance_base,18,6,10,0.5555555555555556,0.3371606942825164,0.7544076889861088,0.8035714285714285,1.0,0.0,0.0,269.04,9958.896,2063.1522222222225,0,
anthropic_claude-opus-4-7_claude-code,subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,214.03,218.83,207.04666666666665,0,
anthropic_claude-opus-4-7_claude-code,subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,3,1,0,0.0,0.0,0.5615060804490177,0.25,0.25,0.0,0.0,711.26,829.62,751.7566666666667,0,
anthropic_claude-opus-4-7_claude-code,threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,27,9,10,0.37037037037037035,0.21532287067936856,0.5577109537655369,0.6705066538399872,0.5454545454545454,0.0,0.0,417.1,2555.492000000003,866.2755555555555,0,
anthropic_claude-opus-4-7_pi,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.4583333333333333,0.5,0.0,0.0,833.39,935.854,859.4899999999999,0,
anthropic_claude-opus-4-7_pi,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,12,0.5,0.31427131627763083,0.6857286837223692,0.7803030303030303,0.9285714285714286,0.0,0.0,742.69,7952.570999999999,2309.221666666667,0,
anthropic_claude-opus-4-7_pi,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.6666666666666666,0.6666666666666667,0.0,0.0,233.065,451.575,248.22333333333333,0,
anthropic_claude-opus-4-7_pi,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5796296296296296,0.5333333333333333,0.0,0.0,438.14,738.766,398.4433333333333,0,
anthropic_claude-opus-4-7_pi,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,6,1.0,0.6096569663469354,0.9999999999999999,1.0,1.0,0.0,0.0,4418.1050000000005,9321.3,4600.316666666666,0,
anthropic_claude-opus-4-7_pi,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.8253968253968256,0.9285714285714286,0.0,0.0,382.565,563.893,409.66916666666674,0,
anthropic_claude-opus-4-7_pi,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5972222222222221,0.5,0.0,0.0,439.06,859.006,500.4266666666667,0,
anthropic_claude-opus-4-7_pi,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,17,0.40476190476190477,0.27042647671209086,0.5550595447182258,0.6983534322820036,0.6666666666666666,0.0,0.0,462.575,4408.300999999999,1469.9440476190478,0,
anthropic_claude-opus-4-7_pi,normalization_representation.feature_namespace_or_identifier_mismatch,18,6,0,0.0,0.0,0.1758845505823749,0.5101430976430977,0.5,0.0,0.0,751.355,3611.851000000001,1491.0877777777778,0,
anthropic_claude-opus-4-7_pi,normalization_representation.feature_selection_or_panel_scope_mismatch,12,4,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.6433982683982684,0.5714285714285714,0.0,0.0,437.59000000000003,1807.362,803.8908333333334,0,
anthropic_claude-opus-4-7_pi,normalization_representation.latent_basis_or_embedding_provenance_mismatch,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,451.07,451.878,426.08666666666664,0,
anthropic_claude-opus-4-7_pi,normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6882154882154882,0.5454545454545454,0.0,0.0,438.14,4788.338,1695.062222222222,0,
anthropic_claude-opus-4-7_pi,normalization_representation.wrong_data_layer_or_preprocessing,15,5,6,0.4,0.19824228082594664,0.642535572434923,0.7166666666666667,0.8333333333333334,0.0,0.0,93.02,637.8919999999999,262.3186666666667,0,
anthropic_claude-opus-4-7_pi,other.unclassified_or_mixed,3,1,0,0.0,0.0,0.5615060804490177,0.75,0.75,0.0,0.0,742.31,857.47,708.2133333333333,0,
anthropic_claude-opus-4-7_pi,qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,6,2,3,0.5,0.18761280689940868,0.8123871931005913,0.9166666666666666,0.9166666666666667,0.0,0.0,268.57,451.575,286.2233333333333,0,
anthropic_claude-opus-4-7_pi,replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.7386363636363636,0.75,0.0,0.0,219.06,1807.362,622.4475000000001,0,
anthropic_claude-opus-4-7_pi,rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,451.07,451.878,426.08666666666664,0,
anthropic_claude-opus-4-7_pi,subset_scope_compartment.wrong_denominator_reference_or_abundance_base,18,6,9,0.5,0.2903070395897999,0.7096929604102,0.7956349206349206,0.9285714285714286,0.0,0.0,416.105,8827.956,1783.9316666666666,0,
anthropic_claude-opus-4-7_pi,subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,199.03,296.71,231.05999999999997,0,
anthropic_claude-opus-4-7_pi,subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,3,1,0,0.0,0.0,0.5615060804490177,0.25,0.25,0.0,0.0,727.14,773.644,703.2299999999999,0,
anthropic_claude-opus-4-7_pi,threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,27,9,11,0.4074074074074074,0.24514513372857344,0.5927361694463591,0.6707832291165624,0.5454545454545454,0.0,0.0,438.14,2725.120000000002,1039.6974074074076,0,
anthropic_claude-opus-4-8_claude-code,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.5,0.5,0.0,0.0,1677.96,1973.28,1632.2266666666665,0,
anthropic_claude-opus-4-8_claude-code,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,15,0.625,0.42709619037907065,0.7884086656636855,0.875,1.0,0.0,0.0,1003.7,6677.139999999997,2743.7970833333334,4,4.7253240625
anthropic_claude-opus-4-8_claude-code,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.6666666666666666,0.6666666666666667,0.0,0.0,525.7,876.3,526.3433333333334,0,
anthropic_claude-opus-4-8_claude-code,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.587037037037037,0.5333333333333333,0.0,0.0,880.13,1070.15,680.6422222222222,0,
anthropic_claude-opus-4-8_claude-code,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,6,1.0,0.6096569663469354,0.9999999999999999,1.0,1.0,0.0,0.0,4094.78,16426.445,6882.748333333332,3,5.8192570166666675
anthropic_claude-opus-4-8_claude-code,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.8253968253968256,0.9285714285714286,0.0,0.0,817.62,1367.387,891.5991666666667,0,
anthropic_claude-opus-4-8_claude-code,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.611111111111111,0.5,0.0,0.0,988.17,1751.79,1085.1677777777777,0,
anthropic_claude-opus-4-8_claude-code,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,20,0.47619047619047616,0.3335936447596496,0.6227778605979295,0.741156462585034,0.8333333333333334,0.0,0.0,872.22,2592.5660000000003,1881.4590476190479,4,4.7253240625
anthropic_claude-opus-4-8_claude-code,normalization_representation.feature_namespace_or_identifier_mismatch,18,6,0,0.0,0.0,0.1758845505823749,0.5207912457912458,0.5166666666666666,0.0,0.0,1105.44,2430.644,1467.1605555555557,1,1.6138545499999999
anthropic_claude-opus-4-8_claude-code,normalization_representation.feature_selection_or_panel_scope_mismatch,12,4,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.6444805194805195,0.5714285714285714,0.0,0.0,854.3399999999999,1878.0290000000002,1053.5008333333333,1,1.6138545499999999
anthropic_claude-opus-4-8_claude-code,normalization_representation.latent_basis_or_embedding_provenance_mismatch,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,870.31,879.894,863.6566666666666,0,
anthropic_claude-opus-4-8_claude-code,normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.7259259259259259,0.6363636363636364,0.0,0.0,880.13,2695.852,1254.5599999999997,0,
anthropic_claude-opus-4-8_claude-code,normalization_representation.wrong_data_layer_or_preprocessing,15,5,6,0.4,0.19824228082594664,0.642535572434923,0.7166666666666667,0.8333333333333334,0.0,0.0,213.03,877.4979999999999,437.98200000000014,0,
anthropic_claude-opus-4-8_claude-code,other.unclassified_or_mixed,3,1,0,0.0,0.0,0.5615060804490177,0.75,0.75,0.0,0.0,840.25,995.61,878.64,0,
anthropic_claude-opus-4-8_claude-code,qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,6,2,3,0.5,0.18761280689940868,0.8123871931005913,0.9166666666666666,0.9166666666666667,0.0,0.0,570.21,876.3,572.0183333333333,0,
anthropic_claude-opus-4-8_claude-code,replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.7159090909090909,0.75,0.0,0.0,368.59499999999997,1878.0290000000002,708.1983333333334,1,1.6138545499999999
anthropic_claude-opus-4-8_claude-code,rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,3,1,0,0.0,0.0,0.5615060804490177,0.8333333333333334,0.8333333333333334,0.0,0.0,870.31,879.894,863.6566666666666,0,
anthropic_claude-opus-4-8_claude-code,subset_scope_compartment.wrong_denominator_reference_or_abundance_base,18,6,10,0.5555555555555556,0.3371606942825164,0.7544076889861088,0.8141534391534392,1.0,0.0,0.0,635.635,10012.849000000004,2705.3305555555553,3,5.819257016666666
anthropic_claude-opus-4-8_claude-code,subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,531.07,642.358,573.7733333333334,0,
anthropic_claude-opus-4-8_claude-code,subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,3,1,0,0.0,0.0,0.5615060804490177,0.25,0.25,0.0,0.0,1040.29,1159.73,1075.72,0,
anthropic_claude-opus-4-8_claude-code,threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,27,9,11,0.4074074074074074,0.24514513372857344,0.5927361694463591,0.6778819945486612,0.6363636363636364,0.0,0.0,832.17,2189.2460000000005,1076.6396296296296,1,1.6138545499999999
anthropic_claude-opus-4-8_max_pi,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.6666666666666666,0.625,0.0,0.0,1796.31,1891.414,1574.61,0,
anthropic_claude-opus-4-8_max_pi,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,13,0.5416666666666666,0.35074553553106635,0.7210894164831857,0.8301767676767676,1.0,0.0,0.0,1005.1800000000001,6061.544,2756.40875,0,
anthropic_claude-opus-4-8_max_pi,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.6666666666666666,0.6666666666666667,0.0,0.0,459.135,877.37,507.1816666666667,0,
anthropic_claude-opus-4-8_max_pi,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6314814814814815,0.8,0.0,0.0,916.3,1306.3400000000001,766.9055555555556,0,
anthropic_claude-opus-4-8_max_pi,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,5,0.8333333333333334,0.43649056343635395,0.9699474141282697,0.9722222222222223,1.0,0.0,0.0,3123.9049999999997,11963.525000000001,5076.828333333334,0,
anthropic_claude-opus-4-8_max_pi,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,6,0.5,0.2537781703934222,0.7462218296065778,0.8253968253968256,0.9285714285714286,0.0,0.0,716.61,1364.278,823.4933333333333,0,
anthropic_claude-opus-4-8_max_pi,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.7777777777777778,0.6666666666666666,0.0,0.0,1089.15,1860.886,1152.8677777777777,0,
anthropic_claude-opus-4-8_max_pi,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,18,0.42857142857142855,0.2911742951914822,0.5779402208812553,0.7528447742733457,0.8333333333333334,0.0,0.0,940.88,5743.045999999999,1938.269523809524,0,
