model_harness,time_horizon,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
fireworks_accounts_fireworks_models_kimi-k2p6_pi,long,78,26,25,0.32051282051282054,0.22748017637196863,0.4303955249828437,0.7072649572649572,0.5,0.0,0.0,398.6,1861.9989999999993,981.9489743589744,78,0.2422368035897435
fireworks_accounts_fireworks_models_kimi-k2p6_pi,small,240,80,54,0.225,0.17674009377675115,0.28192487561321344,0.5997202681577681,0.6666666666666666,0.0,0.0,798.69,3009.975,1312.4946666666667,240,0.5303793020416667
gemini_gemini-3.1-pro-preview_pi,long,78,26,29,0.3717948717948718,0.27293398524227175,0.4826915157254513,0.7852564102564102,1.0,0.0,0.0,743.5250000000001,2941.5060000000003,1358.0269230769231,78,0.5062108153846154
gemini_gemini-3.1-pro-preview_pi,small,240,80,57,0.2375,0.1880618432234884,0.2952092639214778,0.6792529461279461,0.7207792207792207,0.0,0.0,731.765,2665.3789999999995,1269.9517916666666,240,0.8528456383333333
gemini_gemini-3.5-flash_pi,long,78,26,28,0.358974358974359,0.261454020206891,0.46973403085760435,0.7548076923076923,0.8125,0.0,0.0,750.6800000000001,2501.6619999999994,1497.678205128205,78,1.2803370250000001
gemini_gemini-3.5-flash_pi,small,240,80,70,0.2916666666666667,0.23780336603417557,0.3520943380491309,0.7393002946127946,0.75,0.0,0.0,912.76,3155.0889999999995,1381.965875,240,1.686894378125
gpt-5.4_openai-codex,long,78,26,26,0.3333333333333333,0.23872517005631883,0.4435879812017211,0.6907051282051282,0.5,0.0,0.0,287.045,1213.638,817.283205128205,0,
gpt-5.4_openai-codex,small,240,80,96,0.4,0.34006480281631607,0.463086095143671,0.7574627224627224,0.8,0.0,0.0,579.665,2046.7609999999997,916.6020833333333,0,
gpt-5.5_openai-codex,long,78,26,29,0.3717948717948718,0.27293398524227175,0.4826915157254513,0.75,1.0,0.0,0.0,315.55,799.2199999999997,676.0014102564103,0,
gpt-5.5_openai-codex,small,240,80,106,0.44166666666666665,0.3802490279953446,0.5049223291479812,0.7931373256373255,0.8571428571428571,0.0,0.0,514.6,1531.783,703.112125,0,
openai_gpt-5.4_pi,long,78,26,33,0.4230769230769231,0.3195888522235069,0.5337864483571269,0.8205128205128205,1.0,0.0,0.0,539.655,2701.392,1474.659358974359,78,0.48374231410256424
openai_gpt-5.4_pi,small,240,80,101,0.42083333333333334,0.36010122078912743,0.48405990676252897,0.7931233465608466,0.8571428571428571,0.0,0.0,992.8399999999999,3805.861,1540.97075,240,1.0674403354166666
openai_gpt-5.5_pi,long,78,26,24,0.3076923076923077,0.2163178292080744,0.4171204222435101,0.7596153846153846,1.0,0.0,0.0,545.295,1639.4889999999996,1235.5282051282052,78,0.8238789102564104
openai_gpt-5.5_pi,small,240,80,127,0.5291666666666667,0.46605389791998963,0.5913604235083475,0.8346636002886002,1.0,0.0,0.0,953.73,5297.1489999999985,2107.189875,240,1.4340291708333335
xai_grok-4.20-0309-reasoning_pi,long,78,26,19,0.24358974358974358,0.16185113739317142,0.3493998645422746,0.6907051282051282,0.5625,0.0,0.0,196.6,1059.033,740.5937179487181,78,0.12660012179487176
xai_grok-4.20-0309-reasoning_pi,small,240,80,57,0.2375,0.1880618432234884,0.2952092639214778,0.6214374398749399,0.6515151515151515,0.0,0.0,315.06,1316.6819999999998,547.6647916666666,240,0.3302520770833334
xai_grok-4.3_pi,long,78,26,17,0.21794871794871795,0.14076696665343852,0.32160913547555214,0.6314102564102564,0.5,0.0,0.0,67.52000000000001,781.7089999999996,370.99012820512814,78,0.01972957051282051
xai_grok-4.3_pi,small,240,80,26,0.10833333333333334,0.07500808095929623,0.15399960271732005,0.49574449855699854,0.4,0.0,0.0,37.05,229.83999999999995,87.34487499999999,240,0.03685294604166667
