model_harness,kit,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-7_pi,cuttag_cutrun,141,47,46,0.3262411347517731,0.25435688113492116,0.40734252014206007,0.7523049645390071,0.75,0.0,0.0,479.17,2015.33,816.7427659574469,0,
anthropic_claude-opus-4-7_pi,methylseq,75,25,24,0.32,0.22542843754055913,0.43211275898513285,0.7611111111111111,1.0,0.0,0.0,162.02,488.34600000000046,248.0285333333333,0,
anthropic_claude-opus-4-8_claude-code,atacseq,72,24,19,0.2638888888888889,0.17593641596552728,0.37576080561207664,0.6723063973063973,0.6363636363636364,0.0,0.0,877.13,2487.0319999999997,1179.6020833333334,4,1.4507580625
anthropic_claude-opus-4-8_claude-code,chipseq,30,10,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.8412698412698413,1.0,0.0,0.0,649.635,3145.549000000008,2002.4906666666661,4,4.7253240625
anthropic_claude-opus-4-8_claude-code,cuttag_cutrun,141,47,56,0.3971631205673759,0.32015581870067045,0.47962545960611436,0.7994343127321851,0.8571428571428571,0.0,0.0,640.12,1612.31,808.6210638297872,5,0.8650592500000001
anthropic_claude-opus-4-8_claude-code,methylseq,75,25,32,0.4266666666666667,0.32100563365956936,0.53947411307312,0.831111111111111,1.0,0.0,0.0,305.15,988.4240000000003,398.1761333333333,0,
anthropic_claude-opus-4-8_max_pi,atacseq,72,24,21,0.2916666666666667,0.19937911717246712,0.4050596077489481,0.6863661415744748,0.7386363636363636,0.0,0.0,1012.2750000000001,2862.4849999999997,1441.0594444444444,0,
anthropic_claude-opus-4-8_max_pi,chipseq,30,10,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,0.8246031746031746,1.0,0.0,0.0,707.12,3874.2560000000035,1756.9953333333333,0,
anthropic_claude-opus-4-8_max_pi,cuttag_cutrun,141,47,56,0.3971631205673759,0.32015581870067045,0.47962545960611436,0.8031830462681526,0.8571428571428571,0.0,0.0,752.28,1884.32,959.2699290780141,0,
anthropic_claude-opus-4-8_max_pi,methylseq,75,25,33,0.44,0.3333127597678485,0.5525343057407155,0.8466666666666667,1.0,0.0,0.0,390.08,808.8100000000004,417.1501333333334,0,
anthropic_claude-sonnet-4-6_pi,atacseq,72,24,16,0.2222222222222222,0.1416732392052012,0.3309117273566856,0.6382079725829726,0.5714285714285714,0.0,0.0,571.76,3764.5339999999997,1307.2744444444445,72,0.9379283916666667
anthropic_claude-sonnet-4-6_pi,chipseq,30,10,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.7148809523809524,0.8660714285714286,0.0,0.0,548.14,5255.5470000000105,2252.2736666666665,30,1.5658998750000002
anthropic_claude-sonnet-4-6_pi,cuttag_cutrun,141,47,33,0.23404255319148937,0.1717826644060098,0.3104102967322267,0.679145558932793,0.7142857142857143,0.0,0.0,538.1,2357.41,892.7818439716311,141,0.43132063191489356
anthropic_claude-sonnet-4-6_pi,methylseq,75,25,18,0.24,0.15754748728758244,0.3477897965828615,0.6422222222222221,0.5,0.0,0.0,185.03,768.0860000000005,410.29200000000003,75,0.24438165000000003
fireworks_accounts_fireworks_models_kimi-k2p6_pi,atacseq,72,24,13,0.18055555555555555,0.10866714144495851,0.2848055701012113,0.43956028539361874,0.375,0.0,0.0,1958.95,4056.4159999999993,1979.9545833333334,72,0.8956366795833333
fireworks_accounts_fireworks_models_kimi-k2p6_pi,chipseq,30,10,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.6357142857142858,0.6666666666666666,0.0,0.0,711.21,4727.828000000002,2001.1353333333332,30,0.5984992713333334
fireworks_accounts_fireworks_models_kimi-k2p6_pi,cuttag_cutrun,141,47,35,0.24822695035460993,0.1842363284953717,0.32557300804882555,0.6764522120905101,0.75,0.0,0.0,728.18,2483.34,1031.3952482269503,141,0.33737843836879433
fireworks_accounts_fireworks_models_kimi-k2p6_pi,methylseq,75,25,24,0.32,0.22542843754055913,0.43211275898513285,0.7066666666666667,0.5,0.0,0.0,358.05,1283.5300000000007,580.9762666666668,75,0.21565765719999996
gemini_gemini-3.1-pro-preview_pi,atacseq,72,24,12,0.16666666666666666,0.09799275085321624,0.26910920902104796,0.6328768839185506,0.5714285714285714,0.0,0.0,1010.3399999999999,5005.152999999998,1759.8433333333332,72,1.1137360805555556
gemini_gemini-3.1-pro-preview_pi,chipseq,30,10,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,0.8162698412698414,1.0,0.0,0.0,812.385,3739.021000000006,2113.138333333334,30,0.8204753133333333
gemini_gemini-3.1-pro-preview_pi,cuttag_cutrun,141,47,30,0.2127659574468085,0.15329835090284472,0.28747004712645075,0.6752870651806823,0.75,0.0,0.0,642.21,2464.39,1034.2155319148937,141,0.7425138439716311
gemini_gemini-3.1-pro-preview_pi,methylseq,75,25,28,0.37333333333333335,0.2725580313531414,0.4864524402760493,0.7866666666666666,1.0,0.0,0.0,712.09,2880.976000000001,997.1636000000001,75,0.4622625013333333
gemini_gemini-3.5-flash_pi,atacseq,72,24,11,0.1527777777777778,0.08750619034775439,0.25322501785460416,0.6410208233124899,0.625,0.0,0.0,1144.935,3226.7889999999998,1529.638888888889,72,2.201138997916667
gemini_gemini-3.5-flash_pi,chipseq,30,10,11,0.36666666666666664,0.2187370220401768,0.5448675356639505,0.7402777777777777,0.6666666666666666,0.0,0.0,541.6,3741.5560000000055,1933.3759999999997,30,1.9607976550000004
gemini_gemini-3.5-flash_pi,cuttag_cutrun,141,47,48,0.3404255319148936,0.26737122357726273,0.42194455310567913,0.7868456602499155,0.8333333333333334,0.0,0.0,888.13,3186.49,1431.8192907801415,141,1.4525693287234043
gemini_gemini-3.5-flash_pi,methylseq,75,25,28,0.37333333333333335,0.2725580313531414,0.4864524402760493,0.76,1.0,0.0,0.0,732.23,2192.4620000000004,1046.2521333333332,75,1.101369678
gpt-5.4_openai-codex,atacseq,72,24,15,0.20833333333333334,0.1305194089904011,0.3156948058995801,0.6535959796376463,0.6666666666666666,0.0,0.0,1120.3899999999999,3069.874999999999,1477.0420833333333,0,
gpt-5.4_openai-codex,chipseq,30,10,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.8482142857142858,1.0,0.0,0.0,527.685,2368.9100000000094,1607.0493333333332,0,
gpt-5.4_openai-codex,cuttag_cutrun,141,47,65,0.46099290780141844,0.380840007686035,0.5432149599475731,0.791919959473151,0.8571428571428571,0.0,0.0,456.07,1505.23,688.2887234042555,0,
gpt-5.4_openai-codex,methylseq,75,25,25,0.3333333333333333,0.23708065705320355,0.445827858248363,0.6866666666666666,0.5,0.0,0.0,273.18,1063.4160000000015,428.33826666666664,0,
gpt-5.5_openai-codex,atacseq,72,24,18,0.25,0.16438921125325756,0.36093725865244064,0.6950311648228316,0.7386363636363636,0.0,0.0,747.765,1974.6249999999998,945.711527777778,0,
gpt-5.5_openai-codex,chipseq,30,10,21,0.7,0.5212387898833981,0.8333543735604105,0.9134920634920635,1.0,0.0,0.0,484.575,2456.5550000000085,1298.325,0,
gpt-5.5_openai-codex,cuttag_cutrun,141,47,70,0.49645390070921985,0.41512088716989126,0.5779750189786187,0.8220280310705841,0.875,0.0,0.0,416.17,1390.39,614.6664539007093,0,
gpt-5.5_openai-codex,methylseq,75,25,26,0.3466666666666667,0.24882118363617925,0.4594546504412621,0.74,0.5,0.0,0.0,304.17,721.4320000000002,370.21426666666673,0,
openai_gpt-5.4_pi,atacseq,72,24,15,0.20833333333333334,0.1305194089904011,0.3156948058995801,0.6716545414462082,0.7386363636363636,0.0,0.0,1362.78,4110.197,1873.0684722222225,72,2.1535225416666663
openai_gpt-5.4_pi,chipseq,30,10,22,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.9301587301587302,1.0,0.0,0.0,628.625,3767.3060000000064,2198.208,30,0.9614527166666665
openai_gpt-5.4_pi,cuttag_cutrun,141,47,67,0.475177304964539,0.3945043568293785,0.5571669862101902,0.8303951367781154,0.875,0.0,0.0,794.18,3722.6,1504.9715602836882,141,0.5428131347517731
openai_gpt-5.4_pi,methylseq,75,25,30,0.4,0.29662343078170594,0.5131216783992341,0.8133333333333334,1.0,0.0,0.0,512.24,2429.880000000003,957.9766666666667,75,0.44644966
openai_gpt-5.5_pi,atacseq,72,24,23,0.3194444444444444,0.22325457048556474,0.43392565777966174,0.7257305194805195,0.8,0.0,0.0,1057.82,5417.330999999999,2183.0584722222225,72,1.9917916805555553
openai_gpt-5.5_pi,chipseq,30,10,21,0.7,0.5212387898833981,0.8333543735604105,0.9134920634920636,1.0,0.0,0.0,720.675,5690.326000000011,2423.507,30,1.4804286333333334
openai_gpt-5.5_pi,cuttag_cutrun,141,47,85,0.6028368794326241,0.5203745403938856,0.6798441812993296,0.8758527524484971,1.0,0.0,0.0,922.14,6780.1,2268.6859574468085,141,1.1619392269503548
openai_gpt-5.5_pi,methylseq,75,25,22,0.29333333333333333,0.2023999721815816,0.4044065867923611,0.7522222222222222,1.0,0.0,0.0,469.11,1385.4200000000017,697.6884000000001,75,0.7569902
xai_grok-4.20-0309-reasoning_pi,atacseq,72,24,10,0.1388888888888889,0.077226478114719,0.23713397841573391,0.55083974667308,0.5,0.0,0.0,263.065,1543.597,565.2965277777779,72,0.32564940000000003
xai_grok-4.20-0309-reasoning_pi,chipseq,30,10,9,0.3,0.16664562643958933,0.4787612101166018,0.69265873015873,0.6666666666666666,0.0,0.0,152.68,1545.7430000000127,1218.3923333333337,30,0.44786080666666656
xai_grok-4.20-0309-reasoning_pi,cuttag_cutrun,141,47,38,0.2695035460992908,0.2030983483528588,0.3481355513002795,0.6441827085444107,0.6666666666666666,0.0,0.0,369.11,1242.21,608.1021276595744,141,0.3337927560283688
xai_grok-4.20-0309-reasoning_pi,methylseq,75,25,19,0.25333333333333335,0.16859919647948146,0.36210540616683723,0.69,0.5,0.0,0.0,188.03,761.4080000000008,349.4712,75,0.06917264533333335
xai_grok-4.3_pi,atacseq,72,24,7,0.09722222222222222,0.04789571126116793,0.18735249025356804,0.49051076238576236,0.41428571428571426,0.0,0.0,16.0,317.15299999999996,81.39375000000001,72,0.019699706250000004
xai_grok-4.3_pi,chipseq,30,10,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.6010317460317459,0.625,0.0,0.0,21.51,328.959,72.953,30,0.07409481833333335
xai_grok-4.3_pi,cuttag_cutrun,141,47,12,0.0851063829787234,0.04935325776791658,0.14286776160773243,0.4778790949003715,0.4,0.0,0.0,54.01,210.03,98.56028368794327,141,0.03757272021276597
xai_grok-4.3_pi,methylseq,75,25,17,0.22666666666666666,0.14661247942117506,0.33335748567339424,0.6333333333333333,0.5,0.0,0.0,57.01,819.278000000001,372.7208,75,0.01926182133333333
