field,n_field_scores,mean_field_score,field_pass_rate,n_evals
median_discordant_distance_bp,47,0.3404255319148936,0.3404255319148936,1
hd_baseline_ratio_DUX4,48,0.3541666666666667,0.3541666666666667,1
etv6runx1_distal_access_expr_slope,47,0.3617021276595745,0.3617021276595745,1
n_concordant_pairs,47,0.3617021276595745,0.3617021276595745,1
consensus_bp_covered,48,0.375,0.375,1
dux4erg_up_rank1_enrichment_ratio,48,0.375,0.375,1
n_dmc,96,0.375,0.375,2
n_k27only_with_k9,48,0.375,0.375,1
ap1_e2f1_partial_corr,46,0.391304347826087,0.391304347826087,1
dux4erg_up_rank1_k,48,0.3958333333333333,0.3958333333333333,1
ctcf_enrichment_odds,47,0.40425531914893614,0.40425531914893614,1
hyperdiploid_distal_access_expr_slope,47,0.40425531914893614,0.40425531914893614,1
hyperdiploid_proximal_access_expr_slope,47,0.40425531914893614,0.40425531914893614,1
hyperdiploid_top_hub_targets,47,0.40425531914893614,0.40425531914893614,1
numeric_tolerance,431,0.5655452436194895,0.4245939675174014,9
dux4erg_distal_access_expr_slope,47,0.44680851063829785,0.44680851063829785,1
etv6runx1_n_unique_src,47,0.44680851063829785,0.44680851063829785,1
frip_6hpf,47,0.44680851063829785,0.44680851063829785,1
n_cutnrun_peaks_4q,48,0.4583333333333333,0.4583333333333333,1
frip_24hpf,47,0.46808510638297873,0.46808510638297873,1
k9_ratio_biv_vs_k4,48,0.4791666666666667,0.4791666666666667,1
mark_enrichment_pattern_code,48,0.4791666666666667,0.4791666666666667,1
n_h2az_marked_genes,48,0.4791666666666667,0.4791666666666667,1
n_peaks_total,48,0.4791666666666667,0.4791666666666667,1
visualization_method_code,48,0.4791666666666667,0.4791666666666667,1
n_consensus_peaks_DUX4_ERG,47,0.48936170212765956,0.48936170212765956,1
n_consensus_peaks_ETV6_RUNX1,47,0.48936170212765956,0.48936170212765956,1
pct_discordant,96,0.4895833333333333,0.4895833333333333,2
tss2kb_frac_DUX4_ERG,95,0.49473684210526314,0.49473684210526314,2
h1_tss_iqr_bp,48,0.5,0.5,1
kmt2a_distal_fraction,2,0.5,0.5,1
most_shifted_xcor_shift_bp,2,0.5,0.5,1
n_intervals,48,0.5,0.5,1
n_peaks_genebody,48,0.5,0.5,1
weakest_nsc,2,0.5,0.5,1
weakest_nsc_sample,2,0.5,0.5,1
weakest_rsc,2,0.5,0.5,1
tss2kb_frac_Hyperdiploid,95,0.5157894736842106,0.5157894736842106,2
chip_overlap_frac_4q,48,0.5208333333333334,0.5208333333333334,1
coverage_ratio_4q,48,0.5208333333333334,0.5208333333333334,1
cutnrun_peaks_overlapping_chip,48,0.5208333333333334,0.5208333333333334,1
frac_at_promoters,48,0.5208333333333334,0.5208333333333334,1
h1_tss_frac_gt_50kb,48,0.5208333333333334,0.5208333333333334,1
tss2kb_frac_ETV6_RUNX1,95,0.5263157894736842,0.5263157894736842,2
n_consensus_peaks_Hyperdiploid,47,0.5319148936170213,0.5319148936170213,1
jaspar_top1_family_answer,46,0.5434782608695652,0.5434782608695652,1
hic_h3k27ac_contact_log2_enrichment,44,0.5454545454545454,0.5454545454545454,1
covered_fraction,48,0.5625,0.5625,1
homer_macs2_concordance,48,0.5625,0.5625,1
max_cpm,48,0.5625,0.5625,1
n_bivalent_with_k9,48,0.5625,0.5625,1
signal_to_noise,48,0.5625,0.5625,1
summit_cpm,48,0.5625,0.5625,1
summit_position,48,0.5625,0.5625,1
half_decay_kb,47,0.574468085106383,0.574468085106383,1
pct_specific_dux4erg_up,47,0.574468085106383,0.574468085106383,1
bigwig_size_bytes,48,0.5833333333333334,0.5833333333333334,1
cutnrun_mean_width_4q,48,0.5833333333333334,0.5833333333333334,1
n_peaks_all,48,0.5833333333333334,0.5833333333333334,1
n_peaks_auto,48,0.5833333333333334,0.5833333333333334,1
n_peaks_promoter,48,0.5833333333333334,0.5833333333333334,1
group_spread_score,46,0.5869565217391305,0.5869565217391305,1
pct_specific_etv6runx1_up,47,0.5957446808510638,0.5957446808510638,1
pct_specific_hyperdiploid_up,47,0.5957446808510638,0.5957446808510638,1
h2az_pattern_code,48,0.6041666666666666,0.6041666666666666,1
mean_domain_width,48,0.6041666666666666,0.6041666666666666,1
n_macs2_peaks,48,0.6041666666666666,0.6041666666666666,1
sample_order_choice,46,0.6086956521739131,0.6086956521739131,1
dux4erg_n_edges,47,0.6170212765957447,0.6170212765957447,1
chromatin_target_code,48,0.625,0.625,1
lost_full_peak_count,48,0.625,0.625,1
n_cpgs,48,0.625,0.625,1
n_peaks_k9,48,0.625,0.625,1
n_peaks_merged,48,0.625,0.625,1
frac_k4_k27_no_transcript,48,0.6458333333333334,0.6458333333333334,1
lost_enhancer_peak_count,48,0.6458333333333334,0.6458333333333334,1
n_cutnrun_peaks,48,0.6458333333333334,0.6458333333333334,1
n_k4only_with_k9,48,0.6458333333333334,0.6458333333333334,1
pearson_r,142,0.6619718309859155,0.6619718309859155,3
biological_explanation_code,48,0.6666666666666666,0.6666666666666666,1
dup_comparison_code,48,0.6666666666666666,0.6666666666666666,1
fold_enrichment,48,0.6666666666666666,0.6666666666666666,1
n_peaks_k4,48,0.6666666666666666,0.6666666666666666,1
n_pol2_peaks,96,0.6666666666666666,0.6666666666666666,2
n_unique_24hpf_ds,48,0.6666666666666666,0.6666666666666666,1
pax5_hyper_top5000_hit_promoter_frac_2kb,45,0.6666666666666666,0.6666666666666666,1
top_chromosome_number,48,0.6666666666666666,0.6666666666666666,1
n_peaks_6hpf,191,0.675392670157068,0.675392670157068,4
dux4erg_proximal_access_expr_slope,47,0.6808510638297872,0.6808510638297872,1
consensus_all11_count,44,0.6818181818181818,0.6818181818181818,1
dux4erg_up_n_tads_ge2_silent,48,0.6875,0.6875,1
frac_k4_k27_with_pol2,48,0.6875,0.6875,1
functional_interpretation_code,48,0.6875,0.6875,1
k9_ratio_k27_vs_k4,48,0.6875,0.6875,1
jaspar_top1_variability,46,0.6956521739130435,0.6956521739130435,1
mean_tumor_methylation,48,0.7083333333333334,0.7083333333333334,1
n_peaks_intergenic,48,0.7083333333333334,0.7083333333333334,1
vdj_RAG1_FRiP_norm_DUX4_ERG,48,0.7083333333333334,0.7083333333333334,1
vdj_RAG1_FRiP_norm_ETV6_RUNX1,48,0.7083333333333334,0.7083333333333334,1
bottom_group_mean_score,46,0.717391304347826,0.717391304347826,1
cisbp_top1_variability,46,0.717391304347826,0.717391304347826,1
frac_maintained,47,0.723404255319149,0.723404255319149,1
frac_top100_PC1_gt50kb_from_tss,47,0.723404255319149,0.723404255319149,1
n_gained_24hpf,47,0.723404255319149,0.723404255319149,1
n_hyperdiploid_in_top5,47,0.723404255319149,0.723404255319149,1
n_lost_6hpf,47,0.723404255319149,0.723404255319149,1
signflip_rate_discordant_pct,47,0.723404255319149,0.723404255319149,1
n_peaks_24hpf,95,0.7263157894736842,0.7263157894736842,2
association_marked_vs_unmarked,96,0.7291666666666666,0.7291666666666666,2
best_region_r,48,0.7291666666666666,0.7291666666666666,1
etv6runx1_median_abs_rho,48,0.7291666666666666,0.7291666666666666,1
etv6runx1_up_silent_fraction_100kb_pct,48,0.7291666666666666,0.7291666666666666,1
frac_marked_expressed,48,0.7291666666666666,0.7291666666666666,1
h1_tss_median_bp,48,0.7291666666666666,0.7291666666666666,1
igg_spike_in_fraction,48,0.7291666666666666,0.7291666666666666,1
parameter_assessment_code,48,0.7291666666666666,0.7291666666666666,1
etv6runx1_proximal_access_expr_slope,47,0.7446808510638298,0.7446808510638298,1
proximal_etv6runx1_minus_hyperdiploid_slope_delta,47,0.7446808510638298,0.7446808510638298,1
bivalent_fraction_of_k27,48,0.75,0.75,1
frac_k27only_with_pol2,48,0.75,0.75,1
n_peaks_k4me3,96,0.75,0.75,2
n_peaks_macs2,48,0.75,0.75,1
n_peaks_standard,48,0.75,0.75,1
n_peaks_stringent,48,0.75,0.75,1
top_peak_loss_sample,48,0.75,0.75,1
vdj_RAG1_DUX4_ERG,48,0.75,0.75,1
vdj_RAG1_ETV6_RUNX1,48,0.75,0.75,1
rank_gap_score,46,0.7608695652173914,0.7608695652173914,1
median_peak_tss_dist_top100_PC1_bp,47,0.7659574468085106,0.7659574468085106,1
dux4erg_median_abs_rho,48,0.7708333333333334,0.7708333333333334,1
n_dual_fail_samples,48,0.7708333333333334,0.7708333333333334,1
n_peaks_24hpf_ds,48,0.7708333333333334,0.7708333333333334,1
n_shared_6hpf_perspective,48,0.7708333333333334,0.7708333333333334,1
pol2_tpm_correlation,48,0.7708333333333334,0.7708333333333334,1
n_peaks_rep2,96,0.78125,0.78125,2
frac_rep2_in_rep1,48,0.7916666666666666,0.7916666666666666,1
macs2_in_homer_frac,48,0.7916666666666666,0.7916666666666666,1
median_width_stringent_bp,48,0.7916666666666666,0.7916666666666666,1
n_consensus_peaks,48,0.7916666666666666,0.7916666666666666,1
n_peaks_rep3,48,0.7916666666666666,0.7916666666666666,1
pct_lowmapq_k9,48,0.7916666666666666,0.7916666666666666,1
top3_fraction,48,0.7916666666666666,0.7916666666666666,1
frac_expressed_if_unmarked,96,0.8020833333333334,0.8020833333333334,2
n_peaks_rep1,96,0.8020833333333334,0.8020833333333334,2
top_group_mean_score,46,0.8043478260869565,0.8043478260869565,1
cohort_median_abs_rho,48,0.8125,0.8125,1
frac_k4only_with_pol2,48,0.8125,0.8125,1
frac_mouse_bivalent_conserved,48,0.8125,0.8125,1
frip_cutnrun,48,0.8125,0.8125,1
homer_in_macs2_frac,48,0.8125,0.8125,1
macs2_median_width,48,0.8125,0.8125,1
n_samples_to_exclude,48,0.8125,0.8125,1
overlap_fraction_cutnrun,48,0.8125,0.8125,1
pol2_spike_fraction,48,0.8125,0.8125,1
jaccard_index,144,0.8194444444444444,0.8194444444444444,3
depth_ratio,95,0.8210526315789474,0.8210526315789474,2
multiple_choice,431,0.8283062645011601,0.8283062645011601,9
multiplicity_answer,47,0.8297872340425532,0.8297872340425532,1
strong_pair_enrichment_under5_vs_over250,47,0.8297872340425532,0.8297872340425532,1
cutnrun_coverage_mb,48,0.8333333333333334,0.8333333333333334,1
frac_expressed_if_marked,96,0.8333333333333334,0.8333333333333334,2
genome_recommendation_code,48,0.8333333333333334,0.8333333333333334,1
n_gained,48,0.8333333333333334,0.8333333333333334,1
pct_multimapped_k4,48,0.8333333333333334,0.8333333333333334,1
peak_mode_code,48,0.8333333333333334,0.8333333333333334,1
qc_assessment_code,48,0.8333333333333334,0.8333333333333334,1
distal_dux4erg_minus_hyperdiploid_slope_delta,47,0.851063829787234,0.851063829787234,1
bimodality_interpretation_code,48,0.8541666666666666,0.8541666666666666,1
dux4erg_up_silent_fraction_100kb_pct,48,0.8541666666666666,0.8541666666666666,1
frac_k4_at_promoters,48,0.8541666666666666,0.8541666666666666,1
frac_unmarked_expressed,48,0.8541666666666666,0.8541666666666666,1
median_width_standard_bp,48,0.8541666666666666,0.8541666666666666,1
n_genes_k27me3_only,48,0.8541666666666666,0.8541666666666666,1
n_k27me3_peaks,48,0.8541666666666666,0.8541666666666666,1
n_k4_k27_with_both_pol2_and_transcript,48,0.8541666666666666,0.8541666666666666,1
n_k4me3_marked_genes,96,0.8541666666666666,0.8541666666666666,2
n_lost,48,0.8541666666666666,0.8541666666666666,1
strong_cohort_pairs_soft_reversal_pct,48,0.8541666666666666,0.8541666666666666,1
total_coverage_mb,48,0.8541666666666666,0.8541666666666666,1
top_selc_n_strong_peaks,46,0.8695652173913043,0.8695652173913043,1
normalization_strategy_code,47,0.8723404255319149,0.8723404255319149,1
frac_6hpf_maintained,96,0.875,0.875,2
frac_k27_intergenic,48,0.875,0.875,1
frac_k4_intergenic,48,0.875,0.875,1
hd_baseline_ratio_ETV6,48,0.875,0.875,1
n_homer_peaks,48,0.875,0.875,1
n_k4me3_peaks_macs2,48,0.875,0.875,1
n_peaks,48,0.875,0.875,1
normalization_rationale_code,48,0.875,0.875,1
pct_hypo_down,48,0.875,0.875,1
subnuc_ratio_6hpf_over_24hpf,48,0.875,0.875,1
bottom_sample_score,46,0.8913043478260869,0.8913043478260869,1
n_proximal_h3k27ac_peak_gene_links,47,0.8936170212765957,0.8936170212765957,1
perm_null_mean_abs_rho,47,0.8936170212765957,0.8936170212765957,1
background_effect_code,48,0.8958333333333334,0.8958333333333334,1
coverage_auto_mb,48,0.8958333333333334,0.8958333333333334,1
dux4erg_down_null_max_mean,48,0.8958333333333334,0.8958333333333334,1
frac_k27_at_promoters,48,0.8958333333333334,0.8958333333333334,1
gene_annotation_impact_code,48,0.8958333333333334,0.8958333333333334,1
homer_median_width,48,0.8958333333333334,0.8958333333333334,1
max_delta_100kb_to_250kb_pct_points,48,0.8958333333333334,0.8958333333333334,1
n_genes_k4me3_only,48,0.8958333333333334,0.8958333333333334,1
n_peaks_keepdup1,48,0.8958333333333334,0.8958333333333334,1
pbc1_highest_dup,48,0.8958333333333334,0.8958333333333334,1
pct_noncanonical,48,0.8958333333333334,0.8958333333333334,1
peak_ratio_standard_over_stringent,48,0.8958333333333334,0.8958333333333334,1
n_expressed_genes,96,0.90625,0.90625,2
max_peak_count,46,0.9130434782608695,0.9130434782608695,1
subtype_order_choice,46,0.9130434782608695,0.9130434782608695,1
n_enriched_terms_gained,47,0.9148936170212766,0.9148936170212766,1
dynamics_interpretation_code,48,0.9166666666666666,0.9166666666666666,1
frip,48,0.9166666666666666,0.9166666666666666,1
iqr_width_M,48,0.9166666666666666,0.9166666666666666,1
median_peak_width,48,0.9166666666666666,0.9166666666666666,1
median_promoter_peak_width,48,0.9166666666666666,0.9166666666666666,1
mono_nuc_frac_DUX4_ERG,48,0.9166666666666666,0.9166666666666666,1
mono_nuc_frac_Hyperdiploid,48,0.9166666666666666,0.9166666666666666,1
n_genes_triple_marked,48,0.9166666666666666,0.9166666666666666,1
n_k4me3_peaks,48,0.9166666666666666,0.9166666666666666,1
n_mouse_genes_with_zebrafish_ortholog,48,0.9166666666666666,0.9166666666666666,1
peak_count_cv,48,0.9166666666666666,0.9166666666666666,1
promoter_fraction_silent_pct,48,0.9166666666666666,0.9166666666666666,1
technical_answer,1402,0.9243937232524965,0.9243937232524965,30
pax5_top_enriched_subtype_code,45,0.9333333333333333,0.9333333333333333,1
n_scored_genes,46,0.9347826086956522,0.9347826086956522,1
top_sample_score,46,0.9347826086956522,0.9347826086956522,1
n_h3k27ac_consensus_peaks,47,0.9361702127659575,0.9361702127659575,1
chip_coverage_mb,48,0.9375,0.9375,1
chip_mean_width_4q,48,0.9375,0.9375,1
cutandtag_mean_dup,48,0.9375,0.9375,1
dup_rate_k9,48,0.9375,0.9375,1
dup_rate_range,48,0.9375,0.9375,1
dux4erg_down_max_silent_per_tad,48,0.9375,0.9375,1
dux4erg_down_p_max_perm,48,0.9375,0.9375,1
enrichment_k4_vs_k27,48,0.9375,0.9375,1
etv6runx1_down_max_silent_per_tad,48,0.9375,0.9375,1
exclusivity_code,48,0.9375,0.9375,1
frac_conserved_silent,48,0.9375,0.9375,1
frac_h2az_bivalent,48,0.9375,0.9375,1
frac_h2az_k27only,48,0.9375,0.9375,1
frac_h2az_k4only,48,0.9375,0.9375,1
frac_pol2_expressed,48,0.9375,0.9375,1
fraction_in_repeats,48,0.9375,0.9375,1
highest_dup_rate,48,0.9375,0.9375,1
n_bivalent_tf,48,0.9375,0.9375,1
n_fragments_ATACseq_1_M,48,0.9375,0.9375,1
n_genes_with_pol2,48,0.9375,0.9375,1
n_k4only_genes,48,0.9375,0.9375,1
n_k4only_tf,48,0.9375,0.9375,1
pct_hyper_proximal,48,0.9375,0.9375,1
pct_reads_mapq_below20_k9,48,0.9375,0.9375,1
repeat_biology_code,48,0.9375,0.9375,1
sd_fraction,48,0.9375,0.9375,1
spike_organism_rationale_code,48,0.9375,0.9375,1
middle_group_mean_score,46,0.9565217391304348,0.9565217391304348,1
pe_mean_dup_rate,47,0.9574468085106383,0.9574468085106383,1
se_mean_dup_rate,47,0.9574468085106383,0.9574468085106383,1
assay_comparison_code,48,0.9583333333333334,0.9583333333333334,1
bio_answer_2,24,0.9583333333333334,0.9583333333333334,7
cutnrun_matched_mean_dup,48,0.9583333333333334,0.9583333333333334,1
depth_disparity_code,48,0.9583333333333334,0.9583333333333334,1
dinuc_fraction,96,0.9583333333333334,0.9583333333333334,2
dup_rate_k27,48,0.9583333333333334,0.9583333333333334,1
dup_rate_pol2,48,0.9583333333333334,0.9583333333333334,1
frac_h2az_background,48,0.9583333333333334,0.9583333333333334,1
frac_rep1_in_rep2,48,0.9583333333333334,0.9583333333333334,1
igg_to_k4me3_dup_ratio,48,0.9583333333333334,0.9583333333333334,1
median_n_fragments_M,48,0.9583333333333334,0.9583333333333334,1
multimap_explanation_code,48,0.9583333333333334,0.9583333333333334,1
n_bivalent_genes,96,0.9583333333333334,0.9583333333333334,2
pct_hyper_distal,48,0.9583333333333334,0.9583333333333334,1
pol2_rationale_code,48,0.9583333333333334,0.9583333333333334,1
validation_interpretation_code,48,0.9583333333333334,0.9583333333333334,1
interpretation_code,144,0.9652777777777778,0.9652777777777778,3
biology_choice,46,0.9782608695652174,0.9782608695652174,1
consensus_peak_overlap_rate,46,0.9782608695652174,0.9782608695652174,1
pax5_outside_leading_band,46,0.9782608695652174,0.9782608695652174,1
biological_answer,1445,0.9785467128027682,0.9785467128027682,31
interpretation_answer,47,0.9787234042553191,0.9787234042553191,1
n_maintained,47,0.9787234042553191,0.9787234042553191,1
deconv_nucleosome_frac_delta_DUX4_minus_Hyperdiploid,48,0.9791666666666666,0.9791666666666666,1
deconvolution_answer,48,0.9791666666666666,0.9791666666666666,1
dup_rate_k4,48,0.9791666666666666,0.9791666666666666,1
h6_rag2_peaks,48,0.9791666666666666,0.9791666666666666,1
log2_enrichment_ratio,48,0.9791666666666666,0.9791666666666666,1
mean_fraction,48,0.9791666666666666,0.9791666666666666,1
median_nearest_tss_silent_kb,48,0.9791666666666666,0.9791666666666666,1
n_enriched_BP_terms,48,0.9791666666666666,0.9791666666666666,1
n_zebrafish_bivalent,48,0.9791666666666666,0.9791666666666666,1
packing_answer,48,0.9791666666666666,0.9791666666666666,1
periodicity_answer,48,0.9791666666666666,0.9791666666666666,1
pooled_silent_fraction_pct,48,0.9791666666666666,0.9791666666666666,1
spike_rate_pol2_pct,48,0.9791666666666666,0.9791666666666666,1
top_enriched_category_code,48,0.9791666666666666,0.9791666666666666,1
unique_reads_ratio_k27_vs_k4,48,0.9791666666666666,0.9791666666666666,1
concordance_assessment_code,96,0.9895833333333334,0.9895833333333334,2
ap1_artifact_answer,46,1.0,1.0,1
architecture_code,48,1.0,1.0,1
bio_answer_3,13,1.0,1.0,4
biology_significance_answer,46,1.0,1.0,1
bivalent_biology_code,48,1.0,1.0,1
catalog_element_hit_rate,46,1.0,1.0,1
concordance_code,48,1.0,1.0,1
consensus_bp_overlap_rate,46,1.0,1.0,1
consensus_size_ratio,4,1.0,1.0,1
conservation_interpretation_code,48,1.0,1.0,1
contamination_prediction_code,48,1.0,1.0,1
deepest_patient_primary_mapped_reads,48,1.0,1.0,1
developmental_dynamics_code,95,1.0,1.0,2
dinuc_frac_A,48,1.0,1.0,1
dinuc_frac_B,48,1.0,1.0,1
dominant_repeat_class_code,48,1.0,1.0,1
duplicate_handling_code,48,1.0,1.0,1
duprate_ratio_24_vs_6,48,1.0,1.0,1
dux4erg_down_n_silent,48,1.0,1.0,1
expression_association_code,48,1.0,1.0,1
fantom_records_per_hit_consensus_peak,46,1.0,1.0,1
frac_bivalent_silent,48,1.0,1.0,1
frac_developmental_terms,48,1.0,1.0,1
fragment_periodicity_bp,48,1.0,1.0,1
gene_context_answer,42,1.0,1.0,1
gene_count_diff,48,1.0,1.0,1
gene_linking_answer,45,1.0,1.0,1
igg_control_code,48,1.0,1.0,1
layout_effect_code,47,1.0,1.0,1
mapq_strategy_code,48,1.0,1.0,1
mark_rank_code,48,1.0,1.0,1
max_protection_range_value,48,1.0,1.0,1
mean_chr_size_diff_kb,48,1.0,1.0,1
median_isize_A,48,1.0,1.0,1
median_isize_B,48,1.0,1.0,1
modal_fragment_size,48,1.0,1.0,1
mononuc_fraction,48,1.0,1.0,1
most_shifted_xcor_sample,2,1.0,1.0,1
n_ETV6_RUNX1_max_in_top10,48,1.0,1.0,1
n_chip_peaks,48,1.0,1.0,1
n_genes_bivalent,48,1.0,1.0,1
n_k27_broad_domains,48,1.0,1.0,1
n_k4_within_broad_k27,48,1.0,1.0,1
n_motifs_tested,48,1.0,1.0,1
n_motifs_variable,46,1.0,1.0,1
n_reads_k27,48,1.0,1.0,1
n_reads_k4,48,1.0,1.0,1
n_reads_k9,48,1.0,1.0,1
panel_choice,46,1.0,1.0,1
panel_rationale_code,48,1.0,1.0,1
pe_handling_code,48,1.0,1.0,1
pol2_spike_organism,48,1.0,1.0,1
polycomb_domain_biology_code,48,1.0,1.0,1
promoter_enrichment_code,48,1.0,1.0,1
protein_coding_gene_diff,48,1.0,1.0,1
rationale_code,48,1.0,1.0,1
read_ratio_k27_over_k4,48,1.0,1.0,1
signal_correlation_10kb,47,1.0,1.0,1
subnuc_fraction,48,1.0,1.0,1
subnuc_peak_position,48,1.0,1.0,1
subtype_biology_answer,45,1.0,1.0,1
top_se_sample,3,1.0,1.0,1
total_histone_marks,48,1.0,1.0,1
under_15m_patient_sample,48,1.0,1.0,1
weakest_rsc_sample,2,1.0,1.0,1
