model_harness,task_family,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-7_claude-code,genomic_annotation,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.949074074074074,0.9285714285714286,0.0,0.0,244.115,793.91,474.6752777777778,0,
anthropic_claude-opus-4-7_claude-code,peak_calling,42,14,24,0.5714285714285714,0.42205977911874476,0.7088257048085178,0.8232658214801072,1.0,0.0,0.0,646.105,2130.1549999999997,1513.6935714285714,0,
anthropic_claude-opus-4-7_claude-code,qc,66,22,18,0.2727272727272727,0.180032031620791,0.3904245444026678,0.6617424242424242,0.75,0.0,0.0,257.08,977.4100000000001,424.73318181818183,0,
anthropic_claude-opus-4-7_claude-code,secondary_analysis,102,34,38,0.37254901960784315,0.28494828732820177,0.4694016091208316,0.8171027501909854,0.8571428571428571,0.0,0.0,476.21000000000004,1420.9680000000003,706.2175490196079,0,
anthropic_claude-opus-4-7_claude-code,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,246.04,396.456,286.71,0,
anthropic_claude-opus-4-7_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.5833333333333334,0.6666666666666666,0.0,0.0,202.03,337.30400000000003,199.7188888888889,0,
anthropic_claude-opus-4-7_pi,chromatin_state_analysis,48,16,13,0.2708333333333333,0.16565803561632889,0.40997234616201117,0.7496775793650793,0.7916666666666667,0.0,0.0,636.69,3206.6220000000008,1139.26875,0,
anthropic_claude-opus-4-7_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.0,0.0,0.0,0.0,71.515,158.537,83.53333333333333,0,
anthropic_claude-opus-4-7_pi,genomic_annotation,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.9041005291005292,0.9285714285714286,0.0,0.0,301.13,742.24,381.34194444444444,0,
anthropic_claude-opus-4-7_pi,peak_calling,42,14,19,0.4523809523809524,0.3122316381863852,0.6005113725287732,0.7342532467532467,0.8571428571428571,0.0,0.0,677.135,3168.9519999999984,1550.3499999999997,0,
anthropic_claude-opus-4-7_pi,qc,66,22,20,0.30303030303030304,0.20553868699544753,0.4221903455582168,0.6994107744107744,0.75,0.0,0.0,261.17,1208.395,499.2966666666667,0,
anthropic_claude-opus-4-7_pi,secondary_analysis,102,34,41,0.4019607843137255,0.3120433343545498,0.4989950475293221,0.8189298446651389,0.9285714285714286,0.0,0.0,463.095,1872.438,797.3359803921569,0,
anthropic_claude-opus-4-7_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.2916666666666667,0.0,0.0,0.0,210.03,240.462,212.71,0,
anthropic_claude-opus-4-8_claude-code,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,361.05,497.51200000000006,336.7477777777778,0,
anthropic_claude-opus-4-8_claude-code,chromatin_state_analysis,48,16,16,0.3333333333333333,0.2167660137089678,0.47460153667527943,0.7970486111111111,0.8333333333333334,0.0,0.0,728.645,1946.059,918.0916666666667,3,0.8073986166666667
anthropic_claude-opus-4-8_claude-code,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.041666666666666664,0.0,0.0,0.0,71.515,323.996,124.70666666666665,0,
anthropic_claude-opus-4-8_claude-code,genomic_annotation,36,12,19,0.5277777777777778,0.3700567162693947,0.6801420709279067,1.0462962962962965,1.0,0.0,0.0,525.57,1002.185,536.5655555555554,1,1.0399687499999994
anthropic_claude-opus-4-8_claude-code,peak_calling,42,14,22,0.5238095238095238,0.3772221394020704,0.6664063552403504,0.7709286745001032,1.0,0.0,0.0,684.62,2202.4149999999995,1861.5019047619044,5,3.9834413300000002
anthropic_claude-opus-4-8_claude-code,qc,66,22,25,0.3787878787878788,0.271492715804161,0.49941745807501703,0.7191919191919193,0.875,0.0,0.0,458.075,1286.0300000000002,596.5392424242425,2,1.5746044750000001
anthropic_claude-opus-4-8_claude-code,secondary_analysis,102,34,44,0.43137254901960786,0.33947488379914736,0.528251983519563,0.8441378066378067,0.9375,0.0,0.0,805.13,2090.6070000000004,989.6058823529411,2,1.250522275
anthropic_claude-opus-4-8_claude-code,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.2916666666666667,0.0,0.0,0.0,867.19,875.934,826.1366666666667,0,
anthropic_claude-opus-4-8_max_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,374.12,538.7400000000001,413.21444444444444,0,
anthropic_claude-opus-4-8_max_pi,chromatin_state_analysis,48,16,14,0.2916666666666667,0.1824141606186338,0.43179527736167544,0.7788194444444444,0.8333333333333334,0.0,0.0,814.675,2629.64,1133.3008333333335,0,
anthropic_claude-opus-4-8_max_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.041666666666666664,0.0,0.0,0.0,65.515,468.9700000000001,174.47416666666666,0,
anthropic_claude-opus-4-8_max_pi,genomic_annotation,36,12,22,0.6111111111111112,0.4486417029674347,0.7521534458217705,1.05489417989418,1.0,0.0,0.0,500.58500000000004,1352.24,713.6977777777779,0,
anthropic_claude-opus-4-8_max_pi,peak_calling,42,14,17,0.40476190476190477,0.27042647671209086,0.5550595447182258,0.734402700474129,0.8571428571428571,0.0,0.0,770.19,2596.7229999999995,1627.817142857143,0,
anthropic_claude-opus-4-8_max_pi,qc,66,22,26,0.3939393939393939,0.2850282099029192,0.5145181922413615,0.7303451178451179,0.8125,0.0,0.0,496.71500000000003,1526.45,754.3022727272728,0,
anthropic_claude-opus-4-8_max_pi,secondary_analysis,102,34,47,0.46078431372549017,0.3672332339199432,0.5571821188336056,0.8705691367456073,1.0,0.0,0.0,871.19,1981.1150000000005,1146.3578431372548,0,
anthropic_claude-opus-4-8_max_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.5833333333333334,0.875,0.0,0.0,653.22,722.788,674.8366666666667,0,
anthropic_claude-sonnet-4-6_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.5833333333333334,0.6666666666666666,0.0,0.0,255.05,397.264,259.49111111111114,9,0.2945264833333333
anthropic_claude-sonnet-4-6_pi,chromatin_state_analysis,48,16,14,0.2916666666666667,0.1824141606186338,0.43179527736167544,0.7179315476190476,0.75,0.0,0.0,625.67,2471.278000000001,1002.0295833333333,48,0.45356495625
anthropic_claude-sonnet-4-6_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.08333333333333333,0.0,0.0,0.0,53.035000000000004,132.51000000000002,72.86166666666666,12,0.03788504999999997
anthropic_claude-sonnet-4-6_pi,genomic_annotation,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.8353174603174603,0.8333333333333334,0.0,0.0,376.57,762.685,521.3180555555556,36,0.38720635416666666
anthropic_claude-sonnet-4-6_pi,peak_calling,42,14,7,0.16666666666666666,0.08315811295836502,0.30604296204774295,0.6163419913419913,0.6125,0.0,0.0,694.22,2807.0049999999997,2122.768095238095,42,0.9839387857142855
anthropic_claude-sonnet-4-6_pi,qc,66,22,15,0.22727272727272727,0.14285105087244676,0.34169684035570386,0.579040404040404,0.75,0.0,0.0,308.605,1447.4699999999998,544.959393939394,66,0.3587925636363637
anthropic_claude-sonnet-4-6_pi,secondary_analysis,102,34,33,0.3235294117647059,0.2405777016662478,0.41929138572472147,0.7481707834649012,0.696969696969697,0.0,0.0,571.76,3937.0440000000003,1191.905588235294,102,0.856273982352941
anthropic_claude-sonnet-4-6_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.041666666666666664,0.0,0.0,0.0,318.13,891.914,524.5099999999999,3,0.8303610999999999
fireworks_accounts_fireworks_models_kimi-k2p6_pi,alignment,9,3,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,0.4555555555555555,0.3333333333333333,0.0,0.0,325.05,556.6780000000001,318.7155555555556,9,0.17459634777777772
fireworks_accounts_fireworks_models_kimi-k2p6_pi,chromatin_state_analysis,48,16,10,0.20833333333333334,0.11730147795889814,0.3425917352135348,0.651860119047619,0.7083333333333333,0.0,0.0,849.255,3103.0550000000003,1311.778125,48,0.4574788441666666
fireworks_accounts_fireworks_models_kimi-k2p6_pi,differential_methylation,12,4,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.20833333333333334,0.0,0.0,0.0,53.545,177.238,106.87833333333333,12,0.033614344166666636
fireworks_accounts_fireworks_models_kimi-k2p6_pi,genomic_annotation,36,12,14,0.3888888888888889,0.24784655417822943,0.5513582970325652,0.8882275132275133,0.9285714285714286,0.0,0.0,753.1500000000001,1967.365,941.2266666666668,36,0.41887700027777774
fireworks_accounts_fireworks_models_kimi-k2p6_pi,peak_calling,42,14,13,0.30952380952380953,0.1907092651972273,0.46026277766340595,0.6646773861059575,0.6666666666666666,0.0,0.0,785.61,2991.77,1835.5521428571428,42,0.40370779714285715
fireworks_accounts_fireworks_models_kimi-k2p6_pi,qc,66,22,9,0.13636363636363635,0.07343237343346894,0.23929814820406514,0.5567340067340066,0.6666666666666666,0.0,0.0,474.07,2536.505,871.638484848485,66,0.2748947834848484
fireworks_accounts_fireworks_models_kimi-k2p6_pi,secondary_analysis,102,34,31,0.30392156862745096,0.22312289773475902,0.39895386603298455,0.6220407860113742,0.6125,0.0,0.0,1094.75,3208.6130000000007,1506.397549019608,102,0.6959511907843137
fireworks_accounts_fireworks_models_kimi-k2p6_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.375,0.125,0.0,0.0,435.06,1396.788,772.1233333333334,3,0.36213424333333327
gemini_gemini-3.1-pro-preview_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.4851851851851852,0.5,0.0,0.0,281.04,434.0640000000001,319.4955555555556,9,0.43133222222222223
gemini_gemini-3.1-pro-preview_pi,chromatin_state_analysis,48,16,18,0.375,0.2521507240406812,0.5163749387475043,0.7752232142857144,0.8333333333333334,0.0,0.0,747.615,2639.169000000001,1193.9522916666667,48,0.82545885
gemini_gemini-3.1-pro-preview_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,33.51,800.0520000000002,347.77833333333336,12,0.1908198333333333
gemini_gemini-3.1-pro-preview_pi,genomic_annotation,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.9034391534391535,0.8333333333333334,0.0,0.0,721.2950000000001,1601.03,839.6688888888889,36,0.6780722277777778
gemini_gemini-3.1-pro-preview_pi,peak_calling,42,14,11,0.2619047619047619,0.15302485372603591,0.41069019984975563,0.6825628736343022,0.625,0.0,0.0,902.13,5826.052999999998,2141.2688095238095,42,1.058934257142857
gemini_gemini-3.1-pro-preview_pi,qc,66,22,20,0.30303030303030304,0.20553868699544753,0.4221903455582168,0.6768518518518518,0.75,0.0,0.0,460.625,2719.635,983.1528787878789,66,0.5545782212121212
gemini_gemini-3.1-pro-preview_pi,secondary_analysis,102,34,27,0.2647058823529412,0.18876281523744698,0.3577293012838453,0.7385260164671928,0.7142857142857143,0.0,0.0,1116.9250000000002,2967.1160000000004,1561.3238235294118,102,0.8871982980392156
gemini_gemini-3.1-pro-preview_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,416.17,1073.866,683.8433333333332,3,0.7971053333333334
gemini_gemini-3.5-flash_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.5833333333333334,0.6666666666666666,0.0,0.0,446.18,977.1680000000001,569.6711111111113,9,0.806495
gemini_gemini-3.5-flash_pi,chromatin_state_analysis,48,16,15,0.3125,0.19945512167731494,0.4533333725049633,0.787624007936508,0.8333333333333334,0.0,0.0,894.63,4584.380000000006,1655.861666666667,48,1.56314125625
gemini_gemini-3.5-flash_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.08333333333333333,0.0,0.0,0.0,591.695,903.998,537.0666666666667,12,0.8115733875000001
gemini_gemini-3.5-flash_pi,genomic_annotation,36,12,16,0.4444444444444444,0.2954102987654314,0.6041921268399659,1.0165343915343916,1.0,0.0,0.0,789.3199999999999,1852.02,1000.9258333333332,36,1.5324866958333336
gemini_gemini-3.5-flash_pi,peak_calling,42,14,12,0.2857142857142857,0.1716685874457567,0.43567496077245566,0.7139326942898372,0.6666666666666666,0.0,0.0,1077.72,5326.727999999997,2429.765,42,1.9155676928571426
gemini_gemini-3.5-flash_pi,qc,66,22,23,0.3484848484848485,0.24475707338560404,0.4688806439633685,0.7046837421837421,0.75,0.0,0.0,692.205,2360.585,1008.9224242424241,66,1.1470865045454546
gemini_gemini-3.5-flash_pi,secondary_analysis,102,34,31,0.30392156862745096,0.22312289773475902,0.39895386603298455,0.7491331381037264,0.7386363636363636,0.0,0.0,1192.31,3181.612,1483.0940196078434,102,1.9399611602941176
gemini_gemini-3.5-flash_pi,visualization,3,1,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.9166666666666666,0.875,0.0,0.0,511.13,713.6980000000001,496.52666666666664,3,1.16190365
gpt-5.4_openai-codex,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,267.04,334.452,249.0377777777778,0,
gpt-5.4_openai-codex,chromatin_state_analysis,48,16,21,0.4375,0.3070105464041092,0.5772522849899835,0.7688988095238095,0.8571428571428571,0.0,0.0,713.135,2878.5740000000023,1152.6277083333334,0,
gpt-5.4_openai-codex,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,116.08,301.041,146.21333333333334,0,
gpt-5.4_openai-codex,genomic_annotation,36,12,22,0.6111111111111112,0.4486417029674347,0.7521534458217705,1.079365079365079,1.0,0.0,0.0,380.155,1383.275,758.405,0,
gpt-5.4_openai-codex,peak_calling,42,14,27,0.6428571428571429,0.4916608928707938,0.7701100749837315,0.8231240981240981,1.0,0.0,0.0,572.645,2255.9809999999998,1582.1399999999999,0,
gpt-5.4_openai-codex,qc,66,22,18,0.2727272727272727,0.180032031620791,0.3904245444026678,0.608922558922559,0.75,0.0,0.0,282.56,1405.73,490.57348484848495,0,
gpt-5.4_openai-codex,secondary_analysis,102,34,31,0.30392156862745096,0.22312289773475902,0.39895386603298455,0.737173202614379,0.75,0.0,0.0,881.23,1669.162,956.8936274509805,0,
gpt-5.4_openai-codex,visualization,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,221.03,237.03799999999998,225.70000000000002,0,
gpt-5.5_openai-codex,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,229.03,434.87,276.7088888888889,0,
gpt-5.5_openai-codex,chromatin_state_analysis,48,16,25,0.5208333333333334,0.3832899563598438,0.6552890998421255,0.8094494047619047,1.0,0.0,0.0,533.08,1581.6820000000012,762.4197916666667,0,
gpt-5.5_openai-codex,differential_methylation,12,4,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.20833333333333334,0.0,0.0,0.0,57.01,322.84900000000005,120.10666666666667,0,
gpt-5.5_openai-codex,genomic_annotation,36,12,26,0.7222222222222222,0.5600719978365485,0.841518299741862,1.125,1.0,0.0,0.0,493.09000000000003,1035.905,498.75527777777774,0,
gpt-5.5_openai-codex,peak_calling,42,14,26,0.6190476190476191,0.46813768219996377,0.7500047910121407,0.8344490826633683,1.0,0.0,0.0,443.065,2077.7069999999994,1282.0004761904763,0,
gpt-5.5_openai-codex,qc,66,22,15,0.22727272727272727,0.14285105087244676,0.34169684035570386,0.6148148148148149,0.75,0.0,0.0,327.55,866.865,459.2446969696971,0,
gpt-5.5_openai-codex,secondary_analysis,102,34,39,0.38235294117647056,0.2939418160157895,0.4793042422448567,0.8129877203406616,0.8,0.0,0.0,713.61,1492.688,766.2328431372549,0,
gpt-5.5_openai-codex,visualization,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,224.03,252.83800000000002,227.36666666666667,0,
openai_gpt-5.4_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,246.04,504.05,307.63222222222225,9,0.3237241666666667
openai_gpt-5.4_pi,chromatin_state_analysis,48,16,26,0.5416666666666666,0.4029083309494732,0.6742497814544648,0.840203373015873,1.0,0.0,0.0,1127.2849999999999,5836.293,2054.3208333333337,48,1.3513956249999997
openai_gpt-5.4_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,159.53,1041.4550000000002,385.49500000000006,12,0.18673125
openai_gpt-5.4_pi,genomic_annotation,36,12,21,0.5833333333333334,0.4219996966427768,0.7285966649491271,1.1256613756613758,1.0,0.0,0.0,693.675,2519.98,1084.8525,36,1.165858152777778
openai_gpt-5.4_pi,peak_calling,42,14,22,0.5238095238095238,0.3772221394020704,0.6664063552403504,0.7923778602350031,1.0,0.0,0.0,1202.77,7135.808999999996,2698.487619047619,42,0.709523869047619
openai_gpt-5.4_pi,qc,66,22,21,0.3181818181818182,0.21848849400185993,0.43787676681690707,0.6992003367003368,0.75,0.0,0.0,508.16,2612.775,1010.604090909091,66,0.48344810606060606
openai_gpt-5.4_pi,secondary_analysis,102,34,42,0.4117647058823529,0.3211503544990474,0.5087841891964372,0.8259209744503863,0.8452380952380952,0.0,0.0,1227.865,3119.558,1555.727254901961,102,1.1698703039215685
openai_gpt-5.4_pi,visualization,3,1,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.9583333333333334,1.0,0.0,0.0,275.04,495.87200000000007,359.72,3,0.29701883333333334
openai_gpt-5.5_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,324.05,618.702,366.8377777777778,9,0.6808081111111112
openai_gpt-5.5_pi,chromatin_state_analysis,48,16,27,0.5625,0.4227477150100165,0.6929894535958907,0.8511160714285714,1.0,0.0,0.0,1383.69,9599.661000000006,3237.3195833333334,48,1.4133401250000002
openai_gpt-5.5_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,132.02,928.1330000000002,296.46500000000003,12,0.26222308333333333
openai_gpt-5.5_pi,genomic_annotation,36,12,26,0.7222222222222222,0.5600719978365485,0.841518299741862,1.1435185185185186,1.0,0.0,0.0,665.6600000000001,2447.995,1113.4305555555557,36,1.1837681666666666
openai_gpt-5.5_pi,peak_calling,42,14,25,0.5952380952380952,0.4449404552817742,0.7295735232879093,0.8270717377860235,1.0,0.0,0.0,1295.78,11794.660999999995,3364.508095238095,42,1.4188799047619045
openai_gpt-5.5_pi,qc,66,22,24,0.36363636363636365,0.2580681194062094,0.48420582620786595,0.6848905723905725,0.75,0.0,0.0,605.175,1662.275,1186.7506060606063,66,0.8199000606060607
openai_gpt-5.5_pi,secondary_analysis,102,34,46,0.45098039215686275,0.35794458285356257,0.5475746080883734,0.8594042667572079,1.0,0.0,0.0,1066.835,4141.888000000002,1754.1639215686275,102,1.6934600686274515
openai_gpt-5.5_pi,visualization,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,349.05,513.0980000000001,401.07,3,0.7534463333333333
xai_grok-4.20-0309-reasoning_pi,alignment,9,3,2,0.2222222222222222,0.06322376231222723,0.5474166563271946,0.6796296296296297,0.75,0.0,0.0,127.02,326.45200000000006,172.80444444444444,9,0.10663597222222222
xai_grok-4.20-0309-reasoning_pi,chromatin_state_analysis,48,16,13,0.2708333333333333,0.16565803561632889,0.40997234616201117,0.6291666666666668,0.6,0.0,0.0,371.68,1880.8750000000014,683.368125,48,0.36877078333333335
xai_grok-4.20-0309-reasoning_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,35.52,197.33600000000004,74.52999999999999,12,0.014420737500000003
xai_grok-4.20-0309-reasoning_pi,genomic_annotation,36,12,9,0.25,0.13750323839225387,0.41070767683203424,0.857804232804233,0.8333333333333334,0.0,0.0,269.565,886.73,433.7538888888889,36,0.2584759625
xai_grok-4.20-0309-reasoning_pi,peak_calling,42,14,2,0.047619047619047616,0.013157248639206351,0.1579013531547973,0.4807385075242218,0.47727272727272724,0.0,0.0,484.13,2535.147,1392.3704761904762,42,0.5219064845238096
xai_grok-4.20-0309-reasoning_pi,qc,66,22,16,0.24242424242424243,0.15509054458269061,0.35809357491056265,0.5924663299663299,0.6666666666666666,0.0,0.0,219.065,1091.1950000000002,451.05151515151516,66,0.16436889166666668
xai_grok-4.20-0309-reasoning_pi,secondary_analysis,102,34,32,0.3137254901960784,0.23182840733684668,0.4091445182425097,0.707387955182073,0.6666666666666666,0.0,0.0,330.13,1055.2930000000015,486.9452941176471,102,0.2729413750000001
xai_grok-4.20-0309-reasoning_pi,visualization,3,1,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.9583333333333334,1.0,0.0,0.0,140.02,149.62800000000001,140.69000000000003,3,0.12932123333333334
xai_grok-4.3_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.4722222222222222,0.4,0.0,0.0,41.01,259.84200000000004,112.68777777777777,9,0.02627118888888889
xai_grok-4.3_pi,chromatin_state_analysis,48,16,5,0.10416666666666667,0.045321050901178245,0.2216768812614093,0.558234126984127,0.6,0.0,0.0,42.51,113.42000000000012,68.145,48,0.04112482812499999
xai_grok-4.3_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.125,0.0,0.0,0.0,29.515,82.31400000000001,40.846666666666664,12,0.007019641666666667
xai_grok-4.3_pi,genomic_annotation,36,12,8,0.2222222222222222,0.11716192974839595,0.38085019827859085,0.7579365079365079,0.8333333333333334,0.0,0.0,37.05,205.55,371.6286111111111,36,0.030900588888888882
xai_grok-4.3_pi,peak_calling,42,14,1,0.023809523809523808,0.00421529549910029,0.12321481165248252,0.41145897753040606,0.4,0.0,0.0,49.01,383.489,114.62333333333333,42,0.04472197023809523
xai_grok-4.3_pi,qc,66,22,9,0.13636363636363635,0.07343237343346894,0.23929814820406514,0.4185185185185185,0.35416666666666663,0.0,0.0,52.51,501.62,160.00106060606063,66,0.034459445454545455
xai_grok-4.3_pi,secondary_analysis,102,34,20,0.19607843137254902,0.13066968570928417,0.2835492981307183,0.6200414509238038,0.45555555555555555,0.0,0.0,22.01,326.70700000000005,158.58607843137253,102,0.026594615686274505
xai_grok-4.3_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.08333333333333333,0.125,0.0,0.0,66.01,80.41000000000001,65.34333333333333,3,0.03707574999999996
