model_harness,source_prefix,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
fireworks_accounts_fireworks_models_kimi-k2p6_pi,zebrafish,141,47,35,0.24822695035460993,0.1842363284953717,0.32557300804882555,0.67645221209051,0.75,0.0,0.0,728.18,2483.34,1031.3952482269503,141,0.3373784383687943
gemini_gemini-3.1-pro-preview_pi,atac,36,12,8,0.2222222222222222,0.11716192974839595,0.38085019827859085,0.653121492704826,0.625,0.0,0.0,1490.4,6641.415,2520.403611111111,36,1.4947518833333335
gemini_gemini-3.1-pro-preview_pi,chipseq,30,10,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,0.8162698412698414,1.0,0.0,0.0,812.385,3739.021000000006,2113.138333333334,30,0.8204753133333333
gemini_gemini-3.1-pro-preview_pi,cold,36,12,4,0.1111111111111111,0.04406568908741834,0.2531512901503632,0.612632275132275,0.5357142857142857,0.0,0.0,713.22,1958.925,999.2830555555556,36,0.7327202777777778
gemini_gemini-3.1-pro-preview_pi,gse149608,72,24,28,0.3888888888888889,0.2846554187000152,0.5043785679247396,0.8194444444444444,1.0,0.0,0.0,646.365,2907.919,984.3070833333334,72,0.4465846305555556
gemini_gemini-3.1-pro-preview_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,986.7,1941.924,1305.72,3,0.8385314
gemini_gemini-3.1-pro-preview_pi,zebrafish,141,47,30,0.2127659574468085,0.15329835090284472,0.28747004712645075,0.6752870651806823,0.75,0.0,0.0,642.21,2464.39,1034.2155319148937,141,0.7425138439716311
gemini_gemini-3.5-flash_pi,atac,36,12,4,0.1111111111111111,0.04406568908741834,0.2531512901503632,0.6231130751964087,0.625,0.0,0.0,2059.28,3967.5699999999997,2107.8569444444447,36,2.5955679333333332
gemini_gemini-3.5-flash_pi,chipseq,30,10,11,0.36666666666666664,0.2187370220401768,0.5448675356639505,0.7402777777777777,0.6666666666666666,0.0,0.0,541.6,3741.5560000000055,1933.3759999999997,30,1.9607976550000004
gemini_gemini-3.5-flash_pi,cold,36,12,7,0.19444444444444445,0.09752972019453349,0.350283620635152,0.6589285714285714,0.5714285714285714,0.0,0.0,943.9649999999999,1376.8400000000001,951.4208333333331,36,1.8067100624999999
gemini_gemini-3.5-flash_pi,gse149608,72,24,28,0.3888888888888889,0.2846554187000152,0.5043785679247396,0.7916666666666666,1.0,0.0,0.0,723.7049999999999,2209.043,1025.3304166666667,72,1.07963243125
gemini_gemini-3.5-flash_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,1583.35,1867.446,1548.3733333333332,3,1.6230635999999998
gemini_gemini-3.5-flash_pi,zebrafish,141,47,48,0.3404255319148936,0.26737122357726273,0.42194455310567913,0.7868456602499155,0.8333333333333334,0.0,0.0,888.13,3186.49,1431.8192907801415,141,1.4525693287234043
gpt-5.4_openai-codex,atac,36,12,7,0.19444444444444445,0.09752972019453349,0.350283620635152,0.6400953984287318,0.6666666666666666,0.0,0.0,1736.51,4496.6900000000005,2186.651111111111,0,
gpt-5.4_openai-codex,chipseq,30,10,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.8482142857142858,1.0,0.0,0.0,527.685,2368.9100000000094,1607.0493333333332,0,
gpt-5.4_openai-codex,cold,36,12,8,0.2222222222222222,0.11716192974839595,0.38085019827859085,0.6670965608465608,0.7083333333333333,0.0,0.0,879.745,1261.285,767.4330555555556,0,
gpt-5.4_openai-codex,gse149608,72,24,25,0.3472222222222222,0.2475326163175922,0.4623891152914456,0.7152777777777778,0.5,0.0,0.0,275.07000000000005,1120.0439999999999,434.3436111111111,0,
gpt-5.4_openai-codex,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,273.18,352.468,284.21,0,
gpt-5.4_openai-codex,zebrafish,141,47,65,0.46099290780141844,0.380840007686035,0.5432149599475731,0.791919959473151,0.8571428571428571,0.0,0.0,456.07,1505.23,688.2887234042555,0,
gpt-5.5_openai-codex,atac,36,12,8,0.2222222222222222,0.11716192974839595,0.38085019827859085,0.7155583613916947,0.775,0.0,0.0,1144.66,2183.465,1290.4041666666667,0,
gpt-5.5_openai-codex,chipseq,30,10,21,0.7,0.5212387898833981,0.8333543735604105,0.9134920634920635,1.0,0.0,0.0,484.575,2456.5550000000085,1298.325,0,
gpt-5.5_openai-codex,cold,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.6745039682539682,0.6125,0.0,0.0,557.095,945.085,601.0188888888889,0,
gpt-5.5_openai-codex,gse149608,72,24,26,0.3611111111111111,0.25981514475687584,0.4764773385240676,0.7708333333333334,1.0,0.0,0.0,315.55,731.038,374.44125,0,
gpt-5.5_openai-codex,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,257.06,294.748,268.76666666666665,0,
gpt-5.5_openai-codex,zebrafish,141,47,70,0.49645390070921985,0.41512088716989126,0.5779750189786187,0.8220280310705841,0.875,0.0,0.0,416.17,1390.39,614.6664539007093,0,
openai_gpt-5.4_pi,atac,36,12,6,0.16666666666666666,0.07870340628564097,0.3189111473467432,0.6756172839506173,0.75,0.0,0.0,2722.29,4802.290000000001,2822.0097222222225,36,3.0717518750000004
openai_gpt-5.4_pi,chipseq,30,10,22,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.9301587301587302,1.0,0.0,0.0,628.625,3767.3060000000064,2198.208,30,0.9614527166666665
openai_gpt-5.4_pi,cold,36,12,9,0.25,0.13750323839225387,0.41070767683203424,0.667691798941799,0.6333333333333333,0.0,0.0,933.355,1458.42,924.1272222222223,36,1.235293208333333
openai_gpt-5.4_pi,gse149608,72,24,30,0.4166666666666667,0.3098503822249644,0.5319251077436017,0.8472222222222222,1.0,0.0,0.0,430.69000000000005,2530.8599999999997,961.1570833333333,72,0.4425754791666667
openai_gpt-5.4_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,839.33,1126.522,881.6466666666666,3,0.53943
openai_gpt-5.4_pi,zebrafish,141,47,67,0.475177304964539,0.3945043568293785,0.5571669862101902,0.8303951367781154,0.875,0.0,0.0,794.18,3722.6,1504.9715602836882,141,0.5428131347517731
openai_gpt-5.5_pi,atac,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.7531144781144782,0.8257575757575758,0.0,0.0,2366.4049999999997,6368.245000000001,3420.825277777778,36,2.569874111111111
openai_gpt-5.5_pi,chipseq,30,10,21,0.7,0.5212387898833981,0.8333543735604105,0.9134920634920636,1.0,0.0,0.0,720.675,5690.326000000011,2423.507,30,1.4804286333333334
openai_gpt-5.5_pi,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.6983465608465608,0.6875,0.0,0.0,693.15,1684.83,945.2916666666669,36,1.4137092500000001
openai_gpt-5.5_pi,gse149608,72,24,22,0.3055555555555556,0.21126482045921047,0.4195446561341104,0.7835648148148149,1.0,0.0,0.0,469.09000000000003,1444.0099999999998,705.4490277777778,72,0.7623254861111111
openai_gpt-5.5_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,577.09,620.338,511.4333333333334,3,0.6289433333333333
openai_gpt-5.5_pi,zebrafish,141,47,85,0.6028368794326241,0.5203745403938856,0.6798441812993296,0.8758527524484971,1.0,0.0,0.0,922.14,6780.1,2268.6859574468085,141,1.1619392269503548
xai_grok-4.20-0309-reasoning_pi,atac,36,12,3,0.08333333333333333,0.0287480892712918,0.21827010276918848,0.5335578002244669,0.5,0.0,0.0,431.07,2254.145,801.3377777777777,36,0.39198845277777783
xai_grok-4.20-0309-reasoning_pi,chipseq,30,10,9,0.3,0.16664562643958933,0.4787612101166018,0.69265873015873,0.6666666666666666,0.0,0.0,152.68,1545.7430000000127,1218.3923333333337,30,0.4478608066666666
xai_grok-4.20-0309-reasoning_pi,cold,36,12,7,0.19444444444444445,0.09752972019453349,0.350283620635152,0.5681216931216931,0.5,0.0,0.0,202.55,684.495,329.25527777777785,36,0.2593103472222222
xai_grok-4.20-0309-reasoning_pi,gse149608,72,24,19,0.2638888888888889,0.17593641596552728,0.37576080561207664,0.71875,0.75,0.0,0.0,180.035,790.5169999999999,352.7626388888889,72,0.06972636736111111
xai_grok-4.20-0309-reasoning_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,264.1,410.668,270.4766666666667,3,0.055883316666666676
xai_grok-4.20-0309-reasoning_pi,zebrafish,141,47,38,0.2695035460992908,0.2030983483528588,0.3481355513002795,0.6441827085444107,0.6666666666666666,0.0,0.0,369.11,1242.21,608.1021276595744,141,0.3337927560283688
xai_grok-4.3_pi,atac,36,12,3,0.08333333333333333,0.0287480892712918,0.21827010276918848,0.4807239057239058,0.4444444444444444,0.0,0.0,14.0,199.035,91.2675,36,0.021736861111111113
xai_grok-4.3_pi,chipseq,30,10,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.6010317460317459,0.625,0.0,0.0,21.51,328.959,72.953,30,0.07409481833333335
xai_grok-4.3_pi,cold,36,12,4,0.1111111111111111,0.04406568908741834,0.2531512901503632,0.5002976190476189,0.4,0.0,0.0,17.505000000000003,309.565,71.52000000000001,36,0.017662551388888885
xai_grok-4.3_pi,gse149608,72,24,17,0.2361111111111111,0.15296584625945536,0.34598987197433717,0.6597222222222222,0.5,0.0,0.0,54.06,856.8469999999999,378.87208333333336,72,0.019096036805555557
xai_grok-4.3_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,212.12,280.92,225.09,3,0.02324065
xai_grok-4.3_pi,zebrafish,141,47,12,0.0851063829787234,0.04935325776791658,0.14286776160773243,0.4778790949003715,0.4,0.0,0.0,54.01,210.03,98.56028368794327,141,0.037572720212765955
